"Razao Social (Registro ANS)";"Cobertura";"Porte";"Classificacao no Mes";"Classificacao no Mes Anterior";"Dez/20";"Nov/20";"Out/20";"Set/20";"Ago/20";"Jul/20";"Jun/20";"Mai/20";"Abr/20";"Mar/20";"Fev/20";"Jan/20";"Competencia";"Data de atualizacao"
"INSTITUTO DE SAÚDE ODONTOLÓGICA - ISODONT LTDA (415260)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"DENTIÇÃO CONVÊNIOS ODONTOLÓGICOS LTDA (327867)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"   0.66";"   1.33";"   1.34";"   0.67";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"ATEMDE ODONTO SAÚDE CLUBE DE BENEFÍCIOS (336874)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"CENTRO ODONTOLOGICO INTEGRADO EIRELI (314757)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"UNIODONTO DE ARAÇATUBA COOPERATIVA ODONTOLOGICA (362824)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"COOPERATIVA DOS CIRURGIÕES DENTISTAS DO ESTADO DE SERGIPE (359459)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"UNIODONTO RIO GRANDE-LITORAL COOPERATIVA ODONTOLOGICA LTDA (367966)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"UNIODONTO BEBEDOURO - COOPERATIVA ODONTOLÓGICA (327093)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"   1.24";"   1.25";"   1.25";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"ODONTOPAM ASSISTENCIA MÉDICA ODONTOLOGICA INTEGRADA LTDA (313891)";"Odontológica";"Pequeno";"15";"3";"0.00";"   1.76";"   1.76";"   0.88";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"SMART DENTAL ODONTOLOGIA EIRELI - ME (420298)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"UNIODONTO DE RECIFE - COOPERATIVA ODONTOLÓGICA (305740)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"INSTITUTO DE ODONTOLOGIA DO MARANHÃO LTDA. (414981)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"UNIODONTO DE RIO BRANCO ACRE COOPERATIVA ODONTOLÓGICA LTDA. (403997)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"UNIODONTO COOPERATIVA ODONTOLÓGICA DO SERIDÓ LTDA (343919)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"ORAL SAÚDE DE IBITINGA SERVIÇOS ODONTOLÓGICOS S/S LTDA (366510)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"QUALIDONTO - QUALIDADE EM ODONTOLOGIA LTDA ME (417131)";"Odontológica";"Pequeno";"15";"11";"0.00";"   0.82";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"COOP-ODONTOCLASSIC - COOPERATIVA DE TRABALHO ODONTOLÓGICO (407241)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"SISTEMA PREVSAUDE LTDA (333239)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"UNIODONTO DE SAO JOSE DO RIO PARDO - COOPERATIVA ODONTOLÓGICA (378682)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"UNIODONTO PIRASSUNUNGA - COOPERATIVA ODONTOLÓGICA (378941)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"INVEST ORAL PLANO ODONTOLÓGICO LTDA. (416240)";"Odontológica";"Pequeno";"15";"";"0.00";"";"";"";"";"";"";"";"";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"COOPERATIVA DE SAÚDE ODONTOLÓGICA - UNIODONTO RORAIMA (418242)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"BAHIAODONTO PLANO ODONTOLOGICO DA BAHIA LTDA (356301)";"Odontológica";"Pequeno";"15";"1";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"ORTOVIDE CLÍNICA ORTODÔNTICA LTDA (416665)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"ODONTOPONTA CLINICA ODONTOLÓGICA LTDA (416673)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"PLENODONTO ASSISTÊNCIA ODONTOLÓGICA LTDA. (403458)";"Odontológica";"Pequeno";"15";"10";"0.00";"   0.83";"   0.83";"0.00";"   0.82";"   0.80";"   0.78";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
